time,_Cyt__CCND,_Cyt__CCNE_CDKN1A_B_,_Cyt__E2F_DBD_RB1_Ser332u_,_Cyt__E2F_DBD_RB1_Ser332p_,_Cyt__CCNA_CDKN1A_B_,_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_,_Cyt__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_,_Cyt__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_,_Cyt__RB1_E2F_Ser807_Ser811u_,_Cyt__RB1_E2F_Ser807_Ser811p_,_Cyt__PPP2R2B_ENSA_ARPP19_,_Cyt__APC_FBXO5_FZR1_CDC20_Ser355u_,_Cyt__CDC20_APC_,_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_,_Cyt__APC_FBXO5_FZR1_CDC20_Ser355p_,_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_,_Cyt__FZR1_APC_FBXO5_nTermu_,_Cyt__FZR1_APC_FBXO5_nTermp_,_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_,_Cyt__FBXO5_APC_FZR1_Ser182u_,_Cyt__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_,_Cyt__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_,_Cyt__FBXO5_APC_FZR1_Ser182p_,_Cyt__FOXM1_DBD_Thr600u_,_Cyt__FOXM1_DBD_Thr600p_,_Cyt__WEE1_Ser123u_,_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_,_Cyt__WEE1_Ser123p_,_Cyt__CDC25_pSitesp_,_Cyt__CDC25_pSitesu_,_Cyt__MASTL_Thr198u_,_Cyt__MASTL_Thr198p_,_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_,_Cyt__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_,_Cyt__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_,_Cyt__SKP2,_Cyt__TP53_DBD_Ser15p_,_Cyt__FOXO_DBD_,_Num__NUP_pSitesu_,_Nuc__CCND,_Nuc__CCNE_CDKN1A_B_,_Nuc__E2F_DBD_RB1_Ser332u_,_Nuc__E2F_DBD_RB1_Ser332p_,_Nuc__CCNA_CDKN1A_B_,_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_,_Nuc__E2F_DBD_RB1_1_Ser332u__RB1_E2F_1_Ser807_Ser811u_,_Nuc__E2F_DBD_RB1_1_Ser332p__RB1_E2F_1_Ser807_Ser811u_,_Nuc__RB1_E2F_Ser807_Ser811u_,_Nuc__RB1_E2F_Ser807_Ser811p_,_Nuc__PPP2R2B_ENSA_ARPP19_,_Nuc__APC_FBXO5_FZR1_CDC20_Ser355u_,_Nuc__CDC20_APC_,_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__CDC20_APC_1_,_Nuc__APC_FBXO5_FZR1_CDC20_Ser355p_,_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355u__FZR1_APC_1_FBXO5_nTermu_,_Nuc__FZR1_APC_FBXO5_nTermu_,_Nuc__FZR1_APC_FBXO5_nTermp_,_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355u__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_,_Nuc__FBXO5_APC_FZR1_Ser182u_,_Nuc__APC_FBXO5_1_FZR1_CDC20_2_Ser355p__FBXO5_APC_1_FZR1_3_Ser182u__FZR1_APC_2_FBXO5_3_nTermu_,_Nuc__APC_FBXO5_FZR1_CDC20_1_Ser355p__FZR1_APC_1_FBXO5_nTermu_,_Nuc__FBXO5_APC_FZR1_Ser182p_,_Nuc__FOXM1_DBD_Thr600u_,_Nuc__FOXM1_DBD_Thr600p_,_Nuc__CCNB_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_,_Nuc__CCNB_promoter_FOXM1_,_Nuc__CDC20_promoter_FOXM1_,_Nuc__CDC20_promoter_FOXM1_1__FOXM1_DBD_1_Thr600p_,_Nuc__WEE1_Ser123u_,_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_,_Nuc__WEE1_Ser123p_,_Nuc__CDC25_pSitesp_,_Nuc__CDC25_pSitesu_,_Nuc__MASTL_Thr198u_,_Nuc__MASTL_Thr198p_,_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67u_,_Nuc__ENSA_ARPP19_PPP2R2B_Ser62_Ser67p_,_Nuc__ENSA_ARPP19_PPP2R2B_1_Ser62_Ser67p__PPP2R2B_ENSA_ARPP19_1_,_Nuc__CCNE_promoter_E2F_,_Nuc__CCNA_promoter_E2F_,_Nuc__E2F_promoter_E2F_,_Nuc__FBXO5_promoter_E2F_,_Nuc__FOXM1_promoter_E2F_,_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_,_Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332u_,_Nuc__E2F_DBD_1_RB1_Ser332u__E2F_promoter_E2F_1_,_Nuc__E2F_DBD_1_RB1_Ser332u__FBXO5_promoter_E2F_1_,_Nuc__E2F_DBD_1_RB1_Ser332u__FOXM1_promoter_E2F_1_,_Nuc__CCNE_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_,_Nuc__CCNA_promoter_E2F_1__E2F_DBD_1_RB1_Ser332p_,_Nuc__E2F_DBD_1_RB1_Ser332p__E2F_promoter_E2F_1_,_Nuc__E2F_DBD_1_RB1_Ser332p__FBXO5_promoter_E2F_1_,_Nuc__E2F_DBD_1_RB1_Ser332p__FOXM1_promoter_E2F_1_,_Nuc__SKP2,_Nuc__TP53_DBD_Ser15p_,_Nuc__CDKN1A_promoter_TP53_,_Nuc__FOXO_DBD_,_Nuc__CDKN1B_promoter_FOXO_,_Nuc__CDKN1A_promoter_TP53_1__TP53_DBD_1_Ser15p_,_Cyt__CDKN1A_CCNE_A_B_Ser130u_,_Nuc__CDKN1B_promoter_FOXO_1__FOXO_DBD_1_,_Cyt__CDKN1B_CCNE_A_Thr187u_,_Cyt__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Cyt__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Cyt__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Cyt__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Cyt__CDKN1A_CCNE_A_B_Ser130p_,_Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_,_Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_,_Cyt__CDKN1B_CCNE_A_Thr187p_,_Nuc__CDKN1A_CCNE_A_B_Ser130u_,_Nuc__CDKN1B_CCNE_A_Thr187u_,_Nuc__CCNA_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Nuc__CCNE_CDKN1A_B_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Nuc__CCNB_CDK1_Thr14_Tyr15u_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Nuc__CCNB_CDK1_Thr14_Tyr15p_CDKN1A_1__CDKN1A_CCNE_A_B_1_Ser130u_,_Nuc__CDKN1A_CCNE_A_B_Ser130p_,_Cyt__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_,_Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_,_Cyt__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_,_Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187u_,_Nuc__CDKN1B_CCNE_A_Thr187p_,_Nuc__CCNA_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_,_Nuc__CCNE_CDKN1A_B_1__CDKN1B_CCNE_A_1_Thr187p_
0,60200000000,302813887.8,38481451.73,465124.1479,3986839.287,136382304.1,147992084.9,796445.7425,1.03161E+12,5084231642,45135400059,10948730799,519795639.9,9012855413,1.0178E+12,1.62159E+11,224266.9549,11880011348,98351999.97,2502871.564,2500861872,1.16724E+11,10207492.49,64262300,1.47417E+11,1.59783E+13,2825097595,4950888779,1.05437E+12,4.07086E+11,62995469828,2.65744E+12,2.16965E+13,80076.99734,2296233668,60200000000,0,60200000000,12292.51355,60200000000,18377807655,2834844838,366686.754,17521838294,2612431097,2939653569,39660792.21,40500731813,2.86928E+12,5407214214,5.37522E+11,9092379116,107388765.5,6.76257E+11,2.89118E+11,740844538.4,1.05831E+13,1834782834,380689472.4,4042073.89,1378085968,720275.1061,1.34286E+11,5.16752E+13,0,6022000,6022000,0,5.57779E+11,14016242428,3.39093E+11,6.47658E+13,5.67295E+13,1.72609E+11,53017671.83,26154053846,6802754390,32634741926,6022000,6022000,6022000,6022000,6022000,0,0,0,0,0,0,0,0,0,0,60200000000,0,6022000,60200000000,6022000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164.6044632,97475907115,1124250229,9653095.095,47761241.43,43563332.52,2028094.923,122037164.4,92486726.67,1.40475E+12,1483524803,376035.2663,503744294.1,50703298.53,3937.517203,572233391.9,1.11407E+12,2.40952E+11,1.36159E+12,10652762546,14596543.74,43322085.1,1.42703E+12,1661819.305,502054998.4,17574746899,1.42843E+13,5870098907,4.60337E+11,1.99305E+12,1.37478E+13,5.15645E+11,6.694E+11,2.75956E+11,1.693E+13,18598614167,502080.5694,0,64870325624,12292.51355,22924092885,16489007818,9676182.038,477703332.5,13443600512,61404224.26,350854874.8,4829968003,26261949622,2.5117E+12,127844214,2390479.505,108528843.3,10436.31069,23782258.45,104600320.6,6.74075E+12,1925021827,7957961.154,101498853.3,330865852.9,2.72129E+11,345065.6293,9281877964,74331146752,5984819.88,37180.11969,1247383.022,4774616.978,1.99883E+12,9816791423,1.36599E+11,1.71443E+12,1.05502E+14,70382578580,1.63767E+12,2.45814E+12,2.01494E+12,66746755452,5339536.066,5339536.066,5339536.066,5339536.066,5339536.066,8051.830514,8051.830514,8051.830514,8051.830514,8051.830514,674412.1033,674412.1033,674412.1033,674412.1033,674412.1033,1.13171E+11,0,6022000,55523670149,17773.72886,0,26438.88862,6004226.271,921901.1818,6629228.17,10288011.11,68835.26259,6337.861583,9.571139866,20061.72657,136.1312005,2879.497149,314.0435335,24624950.13,40674137.91,474466742.8,15113406.01,2421836439,636412.942,70082759.87,134419.8863,172405227.6,195304.4494,3719046609,330328005.8,423483877
329.4838944,97475907115,1065216322,8851209.505,38191212.67,33482810.81,1530091.889,146169243.7,90119812.48,1.56054E+12,1390382164,345568.089,459802758.5,5687354.432,401.6029477,491335547.3,1.12301E+12,2.79543E+11,2.35465E+11,16779643104,16880362.08,61091224.93,1.41431E+12,1261966.158,23990907.2,20308882.91,1.41115E+13,4709182648,6.12395E+11,1.75751E+12,1.37983E+13,7.49276E+11,5.9245E+11,46254870620,1.89769E+13,18601525635,470472.1461,0,64870325624,12292.51355,22924092885,15623069458,10663427.73,392496777.7,10331884320,48849255.46,424523435.7,4716585517,28576368864,2.35371E+12,114672051.5,2057665.124,12249866.09,1070.852352,22640195.37,98757065.58,7.82934E+12,734784385.4,13785716.94,117524741.5,491964481,2.69722E+11,263587.9923,441059088.8,85901076.28,2067857.178,3954142.822,5514992.542,507007.4584,1.9748E+12,7877328342,1.81402E+11,1.51191E+12,1.05889E+14,1.01956E+11,1.44941E+12,4.12027E+11,2.24384E+12,66757046614,5447799.531,5447799.531,5447799.531,5447799.531,5447799.531,9944.746735,9944.746735,9944.746735,9944.746735,9944.746735,564255.722,564255.722,564255.722,564255.722,564255.722,1.06043E+11,0,6022000,55523670149,17773.72886,0,32095.85285,6004226.271,1051955.18,12527025.26,21432042.6,124187.477,11374.09615,14.28841794,29843.69264,275.0247215,3417.329967,571.9569484,32258142.82,76897888.36,989947352,26939123.41,4353693357,950072.7283,85045067.84,206751.2655,291469400.4,414998.6136,4413671585,400651490.7,715181641.7
494.6393196,97475907115,1019608326,8663678.628,32135299.57,26447787.77,1130026.144,172899338.5,86093040.15,1.6463E+12,1339124348,341517.3497,459601064.5,344118.8336,23.77790166,479948676.9,1.13116E+12,2.84318E+11,96154518239,22921105603,17650320.31,77186152.12,1.40216E+12,1270026.898,10936284.15,141851.4882,1.39786E+13,3695492997,7.29314E+11,1.54695E+12,1.38435E+13,9.56243E+11,5.24282E+11,11874123401,1.92831E+13,18601912600,446154.4061,0,64870325624,12292.51355,22924092885,14954370836,11809652.33,335121198.4,8160343445,37983941.11,505812769.8,4512977118,29868854932,2.26681E+12,112922343.2,2103394.751,741077.4625,63.41647936,22786159.31,98892220.88,7.96404E+12,565395694.6,20291155.04,122797236.1,646590343.4,2.67411E+11,265147.7567,199951093.2,602321.9328,48725.22221,5973274.778,5993703.065,28296.93474,1.9563E+12,6183427250,2.15863E+11,1.33073E+12,1.06236E+14,1.29927E+11,1.28264E+12,1.0576E+11,2.27828E+12,66758413408,5521887.046,5521887.046,5521887.046,5521887.046,5521887.046,12008.31325,12008.31325,12008.31325,12008.31325,12008.31325,488104.6403,488104.6403,488104.6403,488104.6403,488104.6403,1.00558E+11,0,6022000,55523670149,17773.72886,0,39269.26195,6004226.271,1199094.751,16704521.04,33706182.69,167319.3029,15313.99932,16.4762472,32952.05525,382.5084676,3603.103604,837.8685019,40894406.14,102552695.4,1557650358,35954841.09,5865404253,1095539.904,75177380.14,234956.6851,332884259.5,603170.7346,4653766614,354135436.3,816608504.7
660.071628,97475907115,976821264.9,8653435.197,27655806.75,21436453.7,834751.7962,200797977.8,81818541.06,1.70524E+12,1303897765,340819.4017,458793365.9,45054.98208,2.954711625,474385586.6,1.13916E+12,2.85012E+11,75910905324,29075248182,17654604.34,92019909.86,1.39014E+12,1210135.355,9498468.605,77982.74112,1.38737E+13,2904465966,8.21611E+11,1.34713E+12,1.38863E+13,1.13967E+12,4.63869E+11,5856281767,1.93367E+13,18601979269,427551.1127,0,64870325624,12292.51355,22924092885,14327172628,12937475.87,291278613.5,6613511437,29544293.24,590608267.2,4294431912,30766781460,2.20712E+12,112620887.1,2143660.632,96580.87459,7.848615975,22463337.99,99161874.7,7.98363E+12,517665729,27263717.13,122573419.8,793783453.9,2.65119E+11,252529.2419,173617683,331456.7959,5189.915098,6016810.085,6020365.707,1634.293242,1.94169E+12,4861233446,2.43074E+11,1.15879E+12,1.06565E+14,1.54716E+11,1.13484E+12,52151340984,2.28432E+12,66758648893,5579224.679,5579224.679,5579224.679,5579224.679,5579224.679,14059.46076,14059.46076,14059.46076,14059.46076,14059.46076,428715.8606,428715.8606,428715.8606,428715.8606,428715.8606,96363010097,0,6022000,55523670149,17773.72886,0,47542.08133,6004226.271,1362009.444,19392346.7,47232448.06,199347.0994,18295.45933,17.35162073,34366.27076,477.2930895,3708.021688,1106.873555,50456711.06,119058051.2,2183268537,42516537.79,7009768815,1153737.318,63383547.06,250400.0007,343458849.3,778400.2121,4789431052,298575820.6,842487791.7
825.7817088,97475907115,933277126.9,8665563.916,24062848.48,17821776.34,623472.1286,228563005.7,77742148.4,1.75445E+12,1274479042,340709.312,456042428.2,28381.3811,1.789155038,469101014.6,1.14707E+12,2.85221E+11,69852625912,35239769297,17345443.49,105920833.6,1.37819E+12,1108776.466,8543251.152,58118.75616,1.37887E+13,2309171657,8.96382E+11,1.16222E+12,1.3926E+13,1.30221E+12,4.10334E+11,4895027829,1.93452E+13,18601989788,413444.1989,0,64870325624,12292.51355,22924092885,13688909905,13930278.22,255520521.8,5497820268,23239743.21,675067935.9,4085066933,31520043235,2.15729E+12,112573361.2,2161738.177,60657.95975,4.738334238,21866134.32,99185172.8,7.9895E+12,485710643.1,34527005.09,120053121.1,933775794.7,2.62838E+11,231345.309,156165079,247028.3427,3475.843611,6018524.156,6021855.999,144.0012771,1.92985E+12,3866096086,2.65124E+11,9.99706E+11,1.06869E+14,1.76683E+11,1.00387E+12,43589029624,2.28528E+12,66758686010,5626650.312,5626650.312,5626650.312,5626650.312,5626650.312,15938.2791,15938.2791,15938.2791,15938.2791,15938.2791,379411.4092,379411.4092,379411.4092,379411.4092,379411.4092,93181567241,0,6022000,55523670149,17773.72886,0,56613.01041,6004226.271,1535951.469,21020274.07,61815025.94,221963.5292,20463.59469,17.54532495,35434.20662,567.0746513,3786.152193,1375.97786,60666328.83,129054311.9,2857770744,47050741.59,7842321860,1166608.613,53741668.57,262326.2646,342285507,948387.2198,4890467131,253158269.6,839585419.7
991.770588,97475907115,888645488.3,8638050.852,21071867.04,15184382.82,475219.8672,255081761.2,74007131.74,1.80077E+12,1246774164,340728.1785,453017175.2,27389.16957,1.705006449,463871639.6,1.15491E+12,2.85362E+11,65759615460,41412403059,16980105.34,119169988.4,1.3663E+12,1000583.003,7735315.361,44786.32729,1.37181E+13,1869836139,9.58518E+11,9.9583E+11,1.39617E+13,1.44622E+12,3.62902E+11,5041811509,1.9344E+13,18601987992,402882.9206,0,64870325624,12292.51355,22924092885,13034691791,14720256.11,225476708.4,4683808501,18627732.38,755862721.8,3892779016,32229219159,2.11037E+12,112581549.8,2169170.824,58536.59112,4.514215501,21226983.4,99078407.14,7.99347E+12,458894419.4,41949160.56,117054111,1067661353,2.60568E+11,208786.8835,141405121,190358.6365,2668.779491,6019331.221,6021951.647,48.35301337,1.92001E+12,3131578770,2.83453E+11,8.56564E+11,1.07143E+14,1.96145E+11,8.8783E+11,44898063066,2.28511E+12,66758679598,5667139.385,5667139.385,5667139.385,5667139.385,5667139.385,17530.67136,17530.67136,17530.67136,17530.67136,17530.67136,337329.9437,337329.9437,337329.9437,337329.9437,337329.9437,90799749080,0,6022000,55523670149,17773.72886,0,66127.08149,6004226.271,1714786.429,21988746.49,77096167.75,236996.9192,21961.93666,17.38933762,36449.34618,651.7619478,3851.453662,1642.71111,71163168.1,135000970.9,3564626621,49980582.4,8417994518,1156228.448,46379699.52,273019.4999,335863615.6,1110632.797,4974905529,218480808.7,823820905
1158.039086,97475907115,843806699.7,8552304.72,18548895.64,13235365.57,372487.7951,279571167.7,70654660.3,1.84668E+12,1219307294,340784.2,450794572.9,27316.92611,1.68474697,458872913.6,1.16268E+12,2.85477E+11,62409345127,47591437337,16687731.59,131979405.3,1.35448E+12,904728.7305,7035887.553,35475.45939,1.3658E+13,1550983051,1.01143E+12,8.4957E+11,1.3993E+13,1.57378E+12,3.20887E+11,5505603743,1.93398E+13,18601982649,395123.1847,0,64870325624,12292.51355,22924092885,12377401031,15284447.09,199977590,4082288186,15309488.23,830622118.4,3719933441,32930718665,2.06387E+12,112605796.3,2175178.802,58397.94988,4.460711128,20671642.19,98955421.21,7.99672E+12,436776273.8,49441588.8,114489670.9,1196711806,2.58311E+11,188825.9078,128627075,150782.4812,2111.387846,6019888.612,6021965.448,34.55156521,1.91162E+12,2598423588,2.99063E+11,7.30751E+11,1.07383E+14,2.13385E+11,7.85041E+11,49031473178,2.28462E+12,66758660639,5702103.935,5702103.935,5702103.935,5702103.935,5702103.935,18782.031,18782.031,18782.031,18782.031,18782.031,301114.0342,301114.0342,301114.0342,301114.0342,301114.0342,89049745018,0,6022000,55523670149,17773.72886,0,75655.77663,6004226.271,1892469.584,22583806.78,92612449.85,246235.4333,22931.5423,17.0590626,37457.07673,728.7166908,3908.593376,1904.138376,81592412.77,138654726.9,4282411132,51701611.26,8790795799,1134260.271,40827737.85,283007.579,326619163.5,1259285.542,5048780702,192329139,801138115.5
1324.58823,97475907115,800008130.7,8412621.907,16419356.76,11775251.13,301541.4606,301601632.8,67687031.88,1.89267E+12,1191783725,340856.3126,449786891.5,27322.70039,1.671468312,454188345.4,1.17036E+12,2.85569E+11,59727252333,53776190539,16517312.57,144460497,1.34271E+12,828653.9055,6429052.468,28822.8776,1.36056E+13,1321944619,1.0575E+12,7.23412E+11,1.40201E+13,1.68675E+12,2.83677E+11,6105092113,1.93345E+13,18601975770,389581.7097,0,64870325624,12292.51355,22924092885,11735315680,15635572.67,178346646.1,3631679609,12944421.72,898021005.9,3566769007,33631818368,2.01727E+12,112637000.7,2184687.818,58427.01817,4.426051353,20245632.21,98880264.41,7.99932E+12,419278099.8,56951173.47,112710504.8,1321732521,2.56067E+11,172997.1158,117539969.8,122505.3978,1714.147076,6020285.853,6021972.187,27.81304401,1.90431E+12,2215399721,3.12661E+11,6.22236E+11,1.07591E+14,2.28654E+11,6.94008E+11,54373980346,2.28399E+12,66758636241,5732292.739,5732292.739,5732292.739,5732292.739,5732292.739,19692.75711,19692.75711,19692.75711,19692.75711,19692.75711,270014.504,270014.504,270014.504,270014.504,270014.504,87800011266,0,6022000,55523670149,17773.72886,0,84810.46576,6004226.271,2063905.416,22983881.17,107865894.4,251304.8614,23505.49001,16.64966337,38447.12196,795.4868763,3959.471704,2157.341272,91654969.18,141111299,4988090618,52563981.35,9011712513,1107031.983,36629046.1,292371.8172,315776654.1,1389275.883,5114552571,172551719.8,774538615.5
1491.418908,97475907115,758434003.9,8233901.646,14631345.42,10666497.19,252203.6652,321035200.4,65089140.69,1.93834E+12,1164450455,340939.3547,450015137.2,27350.36162,1.661429955,449818785.2,1.17796E+12,2.8564E+11,57674478581,59966999641,16474078.05,156627656.8,1.33101E+12,772738.1317,5905662.321,23978.4667,1.35591E+13,1157452786,1.09844E+12,6.16198E+11,1.40431E+13,1.78679E+12,2.5073E+11,6795755820,1.93284E+13,18601967848,385800.6571,0,64870325624,12292.51355,22924092885,11125799787,15808259.18,160099964.7,3289521983,11257412.25,957605542.7,3432571132,34326379179,1.97099E+12,112672932.8,2199694.595,58502.92256,4.400274777,19950428.15,98879676.25,8.00131E+12,405941081.2,64449835.77,111761140.5,1442852303,2.53836E+11,161370.2476,107976832.4,101913.9684,1425.480521,6020574.519,6021976.893,23.10659455,1.89781E+12,1940287644,3.24745E+11,5.3002E+11,1.07768E+14,2.42173E+11,6.13404E+11,60528955964,2.28327E+12,66758608148,5758197.238,5758197.238,5758197.238,5758197.238,5758197.238,20301.60023,20301.60023,20301.60023,20301.60023,20301.60023,243501.1619,243501.1619,243501.1619,243501.1619,243501.1619,86947294445,0,6022000,55523670149,17773.72886,0,93334.99896,6004226.271,2225275.644,23292906.45,122407297.3,253571.9148,23800.60027,16.21517657,39398.69455,850.8187729,4004.902101,2400.028334,101126716.4,143008913.8,5660877151,52856988.49,9125532176,1078136.712,33428427.31,301073.8764,304175142.5,1497935.31,5173275840,157475457.2,746079734.5
1658.532146,97475907115,719969819.8,8033468.012,13140618.26,9814011.387,217313.418,337931128.3,62837000.5,1.98292E+12,1137766204,341032.2621,451327925.5,27391.49081,1.653856319,445726764.5,1.18548E+12,2.85691E+11,56172481178,66164878797,16543908.76,168431174.9,1.31939E+12,733976.4028,5458479.591,20393.58938,1.3517E+13,1037933558,1.13546E+12,5.26109E+11,1.40624E+13,1.87534E+12,2.21563E+11,7568205834,1.93216E+13,18601958985,383420.1502,0,64870325624,12292.51355,22924092885,10561845387,15845137.93,144817640.1,3026459866,10039361.31,1009518259,3316143661,35003036172,1.92582E+12,112713133.2,2220603.157,58607.61715,4.381287081,19768680.93,98959424.1,8.00277E+12,396126519.7,71925062.38,111550076.1,1559687169,2.51619E+11,153314.135,99805713.31,86676.18876,1212.30049,6020787.7,6021980.353,19.64689322,1.89194E+12,1740373602,3.35676E+11,4.52537E+11,1.07916E+14,2.54141E+11,5.42047E+11,67412762359,2.28245E+12,66758576718,5780241.086,5780241.086,5780241.086,5780241.086,5780241.086,20665.68814,20665.68814,20665.68814,20665.68814,20665.68814,221093.2257,221093.2257,221093.2257,221093.2257,221093.2257,86410433798,0,6022000,55523670149,17773.72886,0,101127.0055,6004226.271,2374021.012,23570340.56,135900592.5,254092.7634,23910.99374,15.7873377,40292.35327,894.7152122,4045.236905,2630.80449,109857435.5,144712629.4,6285209921,52801343.81,9168361818,1049684.591,30965157.99,309052.4163,292456371.1,1585039.18,5225408498,145872288.8,717335039.1
1825.928903,97475907115,685121932.2,7826376.025,11905643.92,9151495.178,192045.1766,352459416.2,60901857.33,2.02561E+12,1112210283,341135.1692,453531206.5,27442.18785,1.648203732,441865177.9,1.19291E+12,2.85727E+11,55129029837,72371066821,16707428.78,179797474.2,1.30783E+12,708401.5081,5080199.55,17704.4447,1.34784E+13,949150755.5,1.16946E+12,4.51033E+11,1.40785E+13,1.95372E+12,1.95748E+11,8423278031,1.9314E+13,18601949168,382156.9234,0,64870325624,12292.51355,22924092885,10050888295,15786785.71,132100582.3,2822027403,9140430.573,1054243195,3216034909,35649961351,1.88255E+12,112757660.5,2247110.313,58732.76378,4.367599,19678495.54,99115790.09,8.00378E+12,389195133.6,79372865.05,111947361.5,1671646615,2.49415E+11,147999.8733,92893435.87,75245.70059,1052.74433,6020947.256,6021982.938,17.06201103,1.88654E+12,1591859206,3.45715E+11,3.87967E+11,1.08039E+14,2.64733E+11,4.78892E+11,75032858443,2.28156E+12,66758541905,5798851.437,5798851.437,5798851.437,5798851.437,5798851.437,20844.43655,20844.43655,20844.43655,20844.43655,20844.43655,202304.1268,202304.1268,202304.1268,202304.1268,202304.1268,86125546262,0,6022000,55523670149,17773.72886,0,108197.7146,6004226.271,2508667.923,23850343.02,148147350.7,253618.0398,23906.32056,15.38453645,41113.67206,928.0788111,4080.687742,2849.013409,117760632.1,146432145.1,6851893896,52552155.92,9166936111,1022898.27,29051451.98,316259.9087,281093271.8,1652122.729,5271225963,136857710.2,689464048
1993.610066,97475907115,654052355.3,7623595.034,10887190.25,8632098.662,173245.6203,364839725.7,59252578.7,2.06575E+12,1088177296,341248.6074,456448825.4,27499.91615,1.644039503,438190749.3,1.20024E+12,2.8575E+11,54458131138,78586691886,16946625.35,190659111.2,1.29634E+12,692375.4917,4763024.883,15663.85131,1.34424E+13,881300882.9,1.2011E+12,3.88824E+11,1.40918E+13,2.02308E+12,1.72905E+11,9365158867,1.93056E+13,18601938346,381787.7057,0,64870325624,12292.51355,22924092885,9595314665,15666662.88,121568005.3,2661763179,8458426.221,1092423671,3130664916,36257476998,1.84186E+12,112806744.7,2278689.612,58872.94097,4.3580189,19659925.45,99341991.14,8.00443E+12,384591003.4,86793334.15,112830474,1778188304,2.47226E+11,144668.7681,87097761.48,66571.84125,931.9998505,6021068,6021984.891,15.10936201,1.88151E+12,1478352933,3.55058E+11,3.34465E+11,1.08142E+14,2.74107E+11,4.23006E+11,83426555134,2.28057E+12,66758503529,5814465.916,5814465.916,5814465.916,5814465.916,5814465.916,20890.2028,20890.2028,20890.2028,20890.2028,20890.2028,186643.8807,186643.8807,186643.8807,186643.8807,186643.8807,86042278941,0,6022000,55523670149,17773.72886,0,114613.38,6004226.271,2628618.384,24151880.63,159074457.1,252641.1079,23834.36672,15.0165243,41854.1118,952.2849382,4111.48581,3054.38739,124801207,148283876,7357533665,52210179.69,9139607130,998425.9806,27552463.62,322676.6935,270399716.4,1701671.065,5311028365,129796575.2,663236171.3
