time(s),fx
65.558,3047.4
65.675,3047.4
66.188,3047.4
66.272,3047.4
66.288,3047.4
66.296,3047.4
66.409,3047.4
66.732,3047.4
66.871,3047.4
67.773,3047.4
69.171,3047.4
2383.6,2604
2478.2,2604
2765.8,2261.7
2937.5,2261.7
2946.3,2261.7
2956.4,2261.7
2971.7,2261.7
3080.4,2261.7
3080.4,2261.7
3148.8,1573.3
3534.2,805.23
3690.6,805.23
3690.6,805.23
3880.8,805.23
3880.8,805.23
3900.3,805.23
3918.2,805.23
4299.3,305.83
4411.7,305.83
4582.7,305.83
4683.7,-93.097
4823.9,-93.097
4866,-93.097
4882.2,-93.097
5067.8,-1065.6
5450.6,-1344.2
5471.1,-1344.2
5471.1,-1344.2
5746.2,-1344.2
5746.2,-1344.2
5764,-1344.2
5764,-1344.2
5782.4,-1344.2
5811.3,-1344.2
5831.6,-2003.9
5833.7,-2003.9
6060.4,-2003.9
6217.3,-2309
6600.6,-2616.4
6655.6,-2616.4
6707.3,-2616.4
6753,-2616.4
6753,-2616.4
6818.2,-2616.4
6818.2,-2616.4
6981.5,-3020.5
6990.3,-9013.2
7109.8,-9013.2
7191.1,-9013.2
7241.5,-9013.2
7258,-9013.2
7362.9,-9013.2
7362.9,-9013.2
7659.8,-9013.2
7694,-9013.2
7694,-9013.2
8535.8,-9013.2
9046.2,-9013.2
13011,-9013.2
13011,-9013.2
14231,-9622.9
14238,-9622.9
14309,-9622.9
14360,-9622.9
14479,-9622.9
14893,-9622.9
15125,-9622.9
15720,-9622.9
16511,-9622.9
16512,-9622.9
16687,-9622.9
16850,-9622.9
23574,-9694
23643,-9694
23643,-9694
23777,-9694
23793,-9694
23861,-9694
24037,-9694
24406,-9694
24473,-9694
24593,-9694
25187,-9694
26432,-9694
27074,-9712.1
27341,-9712.1
27359,-9712.1
27455,-9712.1
27904,-9712.1
27991,-9712.1
28145,-9712.1
28984,-9712.1
29060,-9712.1
31046,-9712.1
31634,-9712.1
31634,-9712.1
32837,-9735.8
32949,-9735.8
33101,-9735.8
33367,-9735.8
33511,-9735.8
33567,-9735.8
33587,-9735.8
33875,-9735.8
36191,-9735.8
36845,-9735.8
38742,-9772.2
38756,-9772.2
38869,-9772.2
39229,-9772.2
39306,-9772.2
39685,-9772.2
39696,-9772.2
40007,-9772.2
40159,-9772.2
40805,-9772.2
41877,-9786.9
41988,-9786.9
42098,-9786.9
42155,-9786.9
42341,-9786.9
42373,-9786.9
42529,-9786.9
42626,-9786.9
42626,-9786.9
45717,-9786.9
46694,-9786.9
47032,-9786.9
53755,-9801.3
53967,-9801.3
54074,-9801.3
54160,-9801.3
54270,-9801.3
55703,-9801.3
55863,-9801.3
56326,-9801.3
58326,-9801.3
58808,-9816.1
59083,-9816.1
59161,-9816.1
59200,-9816.1
59726,-9816.1
60010,-9816.1
60134,-9816.1
60152,-9816.1
60903,-9830.3
61175,-9830.3
61233,-9830.3
61487,-9830.3
62026,-9830.3
62381,-9830.3
62594,-9830.3
63641,-9830.3
64796,-9830.3
66274,-9832.5
66278,-9832.5
66320,-9832.5
66675,-9832.5
66876,-9832.5
67257,-9832.5
68038,-9832.5
68119,-9832.5
68317,-9832.5
68317,-9832.5
69308,-9832.5
69478,-9832.5
70435,-9839.7
70480,-9839.7
70641,-9839.7
71980,-9839.7
72978,-9839.7
73332,-9846.9
73416,-9846.9
73485,-9846.9
73705,-9846.9
73863,-9846.9
74398,-9849.9
74618,-9849.9
74683,-9849.9
74692,-9854.3
75015,-9854.3
